time,steering,accelerator,brake,TOR_flag,Handchange_flag,Collision_flag,main_car_id,main_car_x,main_car_y,main_car_z,main_car_speed(km/h),main_car_accx,main_car_accy,main_car_pitch,main_car_yaw,main_car_roll,Car1_id,Car1_x,Car1_y,Car1_z,Car1_speed(km/h),Car1_accx,Car1_accy,Car1_pitch,Car1_yaw,Car1_roll,Car2_id,Car2_x,Car2_y,Car2_z,Car2_speed(km/h),Car2_accx,Car2_accy,Car2_pitch,Car2_yaw,Car2_roll,Car3_id,Car3_x,Car3_y,Car3_z,Car3_speed(km/h),Car3_accx,Car3_accy,Car3_pitch,Car3_yaw,Car3_roll,Car4_id,Car4_x,Car4_y,Car4_z,Car4_speed(km/h),Car4_accx,Car4_accy,Car4_pitch,Car4_yaw,Car4_roll,Car5_id,Car5_x,Car5_y,Car5_z,Car5_speed(km/h),Car5_accx,Car5_accy,Car5_pitch,Car5_yaw,Car5_roll,Car6_id,Car6_x,Car6_y,Car6_z,Car6_speed(km/h),Car6_accx,Car6_accy,Car6_pitch,Car6_yaw,Car6_roll,Car7_id,Car7_x,Car7_y,Car7_z,Car7_speed(km/h),Car7_accx,Car7_accy,Car7_pitch,Car7_yaw,Car7_roll,Car8_id,Car8_x,Car8_y,Car8_z,Car8_speed(km/h),Car8_accx,Car8_accy,Car8_pitch,Car8_yaw,Car8_roll,Car9_Obs_id,Car9_Obs_x,Car9_Obs_y,Car9_Obs_z,Car9_Obs_speed(km/h),Car9_Obs_accx,Car9_Obs_accy,Car9_Obs_pitch,Car9_Obs_yaw,Car9_Obs_roll,Stare_obj,Stare_area,Car1_screen_X,Car2_screen_X,Car3_screen_X,Car4_screen_X,Car5_screen_X,Car6_screen_X,Car7_screen_X,Car8_screen_X,Car9_screen_X,Car1_screen_Y,Car2_screen_Y,Car3_screen_Y,Car4_screen_Y,Car5_screen_Y,Car6_screen_Y,Car7_screen_Y,Car8_screen_Y,Car9_screen_Y,ScreenPoint2D_x,ScreenPoint2D_y
1721721816.442,0.00439453125,1.52587890625e-05,1.52587890625e-05,1,1,0,805,-497.9700317382813,-291.25,0.003779811784625,49.984411250549385,-0.0069411848671734,-8.480488759232685e-06,0.00215833960101,-0.0006103515042923,3.637957343016751e-05,797,-484.828125,-294.75,0.0034499168395996,49.43821907152926,0.0,7.00902000971837e-06,-0.0019534339662641,0.0003032395616173,-3.05175763060106e-05,798,-494.8426818847656,-294.75,0.0034498977474868,49.43821907159565,0.0,7.85180145612685e-06,-0.0019534339662641,0.0003340504772495,0.0,799,-524.9241333007812,-294.75,0.0034499168395996,49.43821907161973,0.0,7.043569439701969e-06,-0.0019534339662641,0.0003794231161009,6.470072833053564e-08,800,-452.364990234375,-291.2499084472656,0.0053304289467632,0.1868903038381168,0.3557929992675781,-9.001749276649207e-05,-0.0378733985126018,-0.0008239745511673,-6.103514533606358e-05,801,-527.7759399414062,-291.2501220703125,0.0157181154936552,24.456846601857904,-3.1968610286712646,-0.0082676829770207,0.2471367269754409,0.0072221374139189,0.0009168536053039,802,-492.82037353515625,-287.7498474121094,0.0160943027585744,24.479530895536097,-2.844233989715576,-0.0343895927071571,0.2462761104106903,-0.0084533672779798,-0.0003662109083961,803,-502.841552734375,-287.7498779296875,0.015992296859622,24.461454753303823,-3.5086019039154053,-0.0305582266300916,0.2457706779241562,-0.007598876953125,-0.0004577636136673,804,-532.7966918945312,-287.7498779296875,0.0152861205860972,24.00743995179443,-8.15975284576416,0.0606798268854618,0.2453472167253494,-0.0058593754656612,8.576911932323128e-05,796,-418.9044799804688,-287.7501220703125,-0.0037644957192242,0.0001529159446619,-8.969581521967031e-09,3.881664838445431e-07,0.0,0.0133428452536463,2.9758641062471725e-07,9,RF,2698.0,1032.0,0.0,2881.0,0,4739.0,0.0,0,0.0,529.0,643.0,0.0,505.0,0,790.0,0.0,0,0.0,2893.568319973733,527.7169492374146
1721721816.451,0.003936767578125,1.52587890625e-05,1.52587890625e-05,1,1,0,805,-497.9700317382813,-291.25,0.003779811784625,49.984411250549385,-0.0069411848671734,-8.480488759232685e-06,0.00215833960101,-0.0006103515042923,3.637957343016751e-05,797,-484.828125,-294.75,0.0034499168395996,49.43821907152926,0.0,7.00902000971837e-06,-0.0019534339662641,0.0003032395616173,-3.05175763060106e-05,798,-494.8426818847656,-294.75,0.0034498977474868,49.43821907159565,0.0,7.85180145612685e-06,-0.0019534339662641,0.0003340504772495,0.0,799,-524.9241333007812,-294.75,0.0034499168395996,49.43821907161973,0.0,7.043569439701969e-06,-0.0019534339662641,0.0003794231161009,6.470072833053564e-08,800,-452.364990234375,-291.2499084472656,0.0053304289467632,0.1868903038381168,0.3557929992675781,-9.001749276649207e-05,-0.0378733985126018,-0.0008239745511673,-6.103514533606358e-05,801,-527.7759399414062,-291.2501220703125,0.0157181154936552,24.456846601857904,-3.1968610286712646,-0.0082676829770207,0.2471367269754409,0.0072221374139189,0.0009168536053039,802,-492.82037353515625,-287.7498474121094,0.0160943027585744,24.479530895536097,-2.844233989715576,-0.0343895927071571,0.2462761104106903,-0.0084533672779798,-0.0003662109083961,803,-502.841552734375,-287.7498779296875,0.015992296859622,24.461454753303823,-3.5086019039154053,-0.0305582266300916,0.2457706779241562,-0.007598876953125,-0.0004577636136673,804,-532.7966918945312,-287.7498779296875,0.0152861205860972,24.00743995179443,-8.15975284576416,0.0606798268854618,0.2453472167253494,-0.0058593754656612,8.576911932323128e-05,796,-418.9044799804688,-287.7501220703125,-0.0037644957192242,0.0001529159446619,-8.969581521967031e-09,3.881664838445431e-07,0.0,0.0133428452536463,2.9758641062471725e-07,9,RF,2698.0,1031.0,0.0,2881.0,0,4777.0,0.0,0,0.0,529.0,643.0,0.0,505.0,0,796.0,0.0,0,0.0,2986.793326390477,533.0991159318804
1721721816.473,0.003509521484375,1.52587890625e-05,1.52587890625e-05,1,1,0,805,-497.5787048339844,-291.25,0.0037791442591696,49.98288690216383,-0.0150247300043702,-1.627120582270436e-05,0.00215833960101,-0.0006103515042923,3.637957343016751e-05,797,-484.4410400390625,-294.75,0.0034499168395996,49.43821220507895,-6.767896411474794e-05,7.046880000416422e-06,-0.0019534339662641,0.0003032395616173,-3.05175763060106e-05,798,-494.4556274414063,-294.75,0.0034498977474868,49.438219071601104,0.0,7.834312782506458e-06,-0.0019534339662641,0.0003340504772495,0.0,799,-524.5370483398438,-294.75,0.0034498977474868,49.43821907162464,0.0,7.007120984781068e-06,-0.0019534339662641,0.0003794231161009,6.470072833053564e-08,800,-452.36334228515625,-291.2499084472656,0.0050692940130829,0.2252361320594591,0.3748140335083008,-8.536854875274003e-05,-0.0332015492022037,-0.0008239745511673,-3.05175763060106e-05,801,-527.5836791992188,-291.2499694824219,0.0159740447998046,24.301216300336147,-1.5340282917022705,0.0104257371276617,0.2403270155191421,-0.0127868643030524,0.0013932222500443,802,-492.62786865234375,-287.75,0.0163367073982954,24.323802274709465,-1.5350096225738523,-0.0059359995648264,0.2394391000270843,0.0118739968165755,-0.0008544920710846,803,-502.650390625,-287.75006103515625,0.0162158384919166,24.167434535265723,-2.8980977535247803,-0.0236279405653476,0.2386741191148758,0.0137754706665873,-0.00067138671875,804,-532.6047973632812,-287.75006103515625,0.0156129831448197,24.25468572273859,2.4387776851654053,-0.0602081567049026,0.2376905679702758,0.0202803704887628,0.0002280232147313,796,-418.9044799804688,-287.7501220703125,-0.0037644957192242,8.459472447618264e-05,2.1107128489461505e-08,5.606935804536306e-09,0.0,0.0133428452536463,2.9758641062471725e-07,9,RF,2698.0,1031.0,0.0,2881.0,0,4792.0,0.0,0,0.0,529.0,643.0,0.0,505.0,0,799.0,0.0,0,0.0,2986.793326390477,533.0991159318804
1721721816.488,0.003173828125,1.52587890625e-05,1.52587890625e-05,1,1,0,805,-497.5787048339844,-291.25,0.0037791442591696,49.98288690216383,-0.0150247300043702,-1.627120582270436e-05,0.00215833960101,-0.0006103515042923,3.637957343016751e-05,797,-484.4410400390625,-294.75,0.0034499168395996,49.43821220507895,-6.767896411474794e-05,7.046880000416422e-06,-0.0019534339662641,0.0003032395616173,-3.05175763060106e-05,798,-494.4556274414063,-294.75,0.0034498977474868,49.438219071601104,0.0,7.834312782506458e-06,-0.0019534339662641,0.0003340504772495,0.0,799,-524.5370483398438,-294.75,0.0034498977474868,49.43821907162464,0.0,7.007120984781068e-06,-0.0019534339662641,0.0003794231161009,6.470072833053564e-08,800,-452.36334228515625,-291.2499084472656,0.0050692940130829,0.2252361320594591,0.3748140335083008,-8.536854875274003e-05,-0.0332015492022037,-0.0008239745511673,-3.05175763060106e-05,801,-527.5836791992188,-291.2499694824219,0.0159740447998046,24.301216300336147,-1.5340282917022705,0.0104257371276617,0.2403270155191421,-0.0127868643030524,0.0013932222500443,802,-492.62786865234375,-287.75,0.0163367073982954,24.323802274709465,-1.5350096225738523,-0.0059359995648264,0.2394391000270843,0.0118739968165755,-0.0008544920710846,803,-502.650390625,-287.75006103515625,0.0162158384919166,24.167434535265723,-2.8980977535247803,-0.0236279405653476,0.2386741191148758,0.0137754706665873,-0.00067138671875,804,-532.6047973632812,-287.75006103515625,0.0156129831448197,24.25468572273859,2.4387776851654053,-0.0602081567049026,0.2376905679702758,0.0202803704887628,0.0002280232147313,796,-418.9044799804688,-287.7501220703125,-0.0037644957192242,8.459472447618264e-05,2.1107128489461505e-08,5.606935804536306e-09,0.0,0.0133428452536463,2.9758641062471725e-07,9,RF,2697.0,1031.0,0.0,2881.0,0,4828.0,0.0,0,0.0,529.0,643.0,0.0,505.0,0,806.0,0.0,0,0.0,2986.793326390477,533.0991159318804
1721721816.499,0.003173828125,1.52587890625e-05,1.52587890625e-05,1,1,0,805,-497.2143249511719,-291.2498474121094,0.0037607764825224,49.96805335009683,-0.1571417599916458,0.4165956079959869,0.0021446791943162,0.0055250735022127,0.001501970575191,797,-484.08056640625,-294.75,0.0034499168395996,49.438212205083424,0.0,7.102456947905012e-06,-0.0019534339662641,0.0003032395616173,-3.05175763060106e-05,798,-494.09515380859375,-294.75,0.0034498977474868,49.43821907160648,0.0,8.237042493419722e-06,-0.0019534339662641,0.0003340504772495,0.0,799,-524.1765747070312,-294.75,0.0034498977474868,49.43821907162867,0.0,6.131420377641916e-06,-0.0019534339662641,0.0003794231161009,6.470072833053564e-08,800,-452.3631591796875,-291.2499084472656,0.0050110626034438,0.0366678374099246,-1.9825401306152344,0.0004680518177337,-0.0293288305401802,-0.0008239744929596,-3.051757266803179e-05,801,-527.4069213867188,-291.25018310546875,0.0162132456898689,24.00110474438303,-3.17604398727417,-0.1312417089939117,0.2335241585969925,0.0076612406410276,0.001027752412483,802,-492.45111083984375,-287.7497863769531,0.0165633205324411,23.99627433024311,-3.466184139251709,0.13580322265625,0.2326157391071319,-0.0083618154749274,-0.0005187987117096,803,-502.4734191894531,-287.7498474121094,0.016448326408863,24.023984225708794,-1.5180621147155762,0.0355311073362827,0.2317141592502594,-0.0087280264124274,-0.0006103515042923,804,-532.4280395507812,-287.7498779296875,0.0158539768308401,23.98944941613111,-2.806988000869751,-0.0026934617199003,0.2305052131414413,-0.0016784666804596,0.0003315246431156,796,-418.9044799804688,-287.7501220703125,-0.0037609862629324,0.0005055083893254,9.873741824151239e-10,3.814259463830183e-10,0.0,0.0133428452536463,2.9758641062471725e-07,9,RF,2697.0,1030.0,0.0,2881.0,0,4894.0,0.0,0,0.0,529.0,643.0,0.0,505.0,0,822.0,0.0,0,0.0,2986.793326390477,533.0991159318804
1721721816.512,0.002960205078125,1.52587890625e-05,1.52587890625e-05,1,1,0,805,-497.2143249511719,-291.2498474121094,0.0037607764825224,49.96805335009683,-0.1571417599916458,0.4165956079959869,0.0021446791943162,0.0055250735022127,0.001501970575191,797,-484.08056640625,-294.75,0.0034499168395996,49.438212205083424,0.0,7.102456947905012e-06,-0.0019534339662641,0.0003032395616173,-3.05175763060106e-05,798,-494.09515380859375,-294.75,0.0034498977474868,49.43821907160648,0.0,8.237042493419722e-06,-0.0019534339662641,0.0003340504772495,0.0,799,-524.1765747070312,-294.75,0.0034498977474868,49.43821907162867,0.0,6.131420377641916e-06,-0.0019534339662641,0.0003794231161009,6.470072833053564e-08,800,-452.3631591796875,-291.2499084472656,0.0050110626034438,0.0366678374099246,-1.9825401306152344,0.0004680518177337,-0.0293288305401802,-0.0008239744929596,-3.051757266803179e-05,801,-527.4069213867188,-291.25018310546875,0.0162132456898689,24.00110474438303,-3.17604398727417,-0.1312417089939117,0.2335241585969925,0.0076612406410276,0.001027752412483,802,-492.45111083984375,-287.7497863769531,0.0165633205324411,23.99627433024311,-3.466184139251709,0.13580322265625,0.2326157391071319,-0.0083618154749274,-0.0005187987117096,803,-502.4734191894531,-287.7498474121094,0.016448326408863,24.023984225708794,-1.5180621147155762,0.0355311073362827,0.2317141592502594,-0.0087280264124274,-0.0006103515042923,804,-532.4280395507812,-287.7498779296875,0.0158539768308401,23.98944941613111,-2.806988000869751,-0.0026934617199003,0.2305052131414413,-0.0016784666804596,0.0003315246431156,796,-418.9044799804688,-287.7501220703125,-0.0037609862629324,0.0005055083893254,9.873741824151239e-10,3.814259463830183e-10,0.0,0.0133428452536463,2.9758641062471725e-07,0,RF,2697.0,1030.0,0.0,2881.0,0,4949.0,0.0,0,0.0,529.0,643.0,0.0,505.0,0,833.0,0.0,0,0.0,3092.3044345497824,485.5450501664418
1721721816.634,0.002777099609375,1.52587890625e-05,1.52587890625e-05,1,1,0,805,-495.2373352050781,-291.2469177246094,0.0035767555236816,49.884555364890815,-0.1623521447181701,0.1704595983028412,0.0020763773936778,0.0926368460059166,0.0076390951871871,797,-482.1227111816406,-294.75,0.0034498977474868,49.43822593801914,0.0,6.622028649871936e-06,-0.0019534339662641,0.0003032395616173,-3.05175763060106e-05,798,-492.1372985839844,-294.75,0.0034498977474868,49.43821907163007,0.0,6.882018169562798e-06,-0.0019534339662641,0.0003340504772495,0.0,799,-522.21875,-294.75,0.0034498977474868,49.43821907165571,0.0,6.962944098631851e-06,-0.0019534339662641,0.0003794231161009,6.470072833053564e-08,800,-452.3591613769531,-291.2499084472656,0.0042371749877929,0.1188771020042206,0.0293567832559347,-4.741541033581598e-06,-0.013059320859611,-0.0008544921292923,0.0,801,-526.5189208984375,-291.25018310546875,0.0114966388791799,20.9187623748172,-5.488784790039063,-0.022402785718441,0.1907876580953598,0.0081393709406256,-0.000213623046875,802,-491.54541015625,-287.74981689453125,0.0133297722786664,21.36613239810548,-5.728236198425293,0.024339260533452,0.197105586528778,-0.0088195782154798,0.0004524462856352,803,-501.5851745605469,-287.7498474121094,0.0116210170090198,20.92575905161857,-5.488962650299072,0.0225524399429559,0.1899748742580413,-0.012939453125,6.688993744319305e-05,804,-531.5399780273438,-287.74981689453125,0.0112707139924168,20.916662329281923,-5.497214794158936,0.018575545400381,0.1897972822189331,-0.0094299297779798,0.0002193064428865,796,-418.9044799804688,-287.7501220703125,-0.0037260435055941,0.0004365692002543,9.390441313428257e-09,-3.406834814256854e-09,0.0,0.0133428452536463,2.9758641062471725e-07,0,RF,2697.0,1030.0,0.0,2881.0,0,5031.0,0.0,0,2880.0,529.0,643.0,0.0,505.0,0,850.0,0.0,0,496.0,3092.3044345497824,485.5450501664418
1721721816.648,0.00274658203125,1.52587890625e-05,1.52587890625e-05,1,1,0,805,-495.2373352050781,-291.2469177246094,0.0035767555236816,49.884555364890815,-0.1623521447181701,0.1704595983028412,0.0020763773936778,0.0926368460059166,0.0076390951871871,797,-482.1227111816406,-294.75,0.0034498977474868,49.43822593801914,0.0,6.622028649871936e-06,-0.0019534339662641,0.0003032395616173,-3.05175763060106e-05,798,-492.1372985839844,-294.75,0.0034498977474868,49.43821907163007,0.0,6.882018169562798e-06,-0.0019534339662641,0.0003340504772495,0.0,799,-522.21875,-294.75,0.0034498977474868,49.43821907165571,0.0,6.962944098631851e-06,-0.0019534339662641,0.0003794231161009,6.470072833053564e-08,800,-452.3591613769531,-291.2499084472656,0.0042371749877929,0.1188771020042206,0.0293567832559347,-4.741541033581598e-06,-0.013059320859611,-0.0008544921292923,0.0,801,-526.5189208984375,-291.25018310546875,0.0114966388791799,20.9187623748172,-5.488784790039063,-0.022402785718441,0.1907876580953598,0.0081393709406256,-0.000213623046875,802,-491.54541015625,-287.74981689453125,0.0133297722786664,21.36613239810548,-5.728236198425293,0.024339260533452,0.197105586528778,-0.0088195782154798,0.0004524462856352,803,-501.5851745605469,-287.7498474121094,0.0116210170090198,20.92575905161857,-5.488962650299072,0.0225524399429559,0.1899748742580413,-0.012939453125,6.688993744319305e-05,804,-531.5399780273438,-287.74981689453125,0.0112707139924168,20.916662329281923,-5.497214794158936,0.018575545400381,0.1897972822189331,-0.0094299297779798,0.0002193064428865,796,-418.9044799804688,-287.7501220703125,-0.0037260435055941,0.0004365692002543,9.390441313428257e-09,-3.406834814256854e-09,0.0,0.0133428452536463,2.9758641062471725e-07,9,RF,2696.0,1029.0,0.0,0.0,0,5188.0,0.0,0,0.0,529.0,643.0,0.0,0.0,0,881.0,0.0,0,0.0,2934.2658486666555,529.7920132807532
1721721816.67,0.00274658203125,1.52587890625e-05,1.52587890625e-05,1,1,0,805,-494.833984375,-291.2459411621094,0.0035430907737463,49.8675921859013,-0.1623353362083435,0.1719715446233749,0.002062716986984,0.1142617315053939,0.0081384638324379,797,-481.7228698730469,-294.75,0.0034498977474868,49.4382259380242,0.0,7.152979378588498e-06,-0.0019534339662641,0.0003032395616173,-3.05175763060106e-05,798,-491.7374572753906,-294.75,0.0034498977474868,49.43821907163522,0.0,7.045021447993349e-06,-0.0019534339662641,0.0003340504772495,0.0,799,-521.8189086914062,-294.75,0.0034498977474868,49.438219071662,0.0,8.512452950526495e-06,-0.0019534339662641,0.0003794231161009,6.470072833053564e-08,800,-452.3590087890625,-291.2499084472656,0.0041559217497706,0.0300298241257536,-0.8455044627189636,0.0001442167995264,-0.0109283020719885,-0.0008544921292923,0.0,801,-526.337890625,-291.2499084472656,0.0118486592546105,22.13430138296838,11.606844902038574,0.0593943633139133,0.1841828674077987,-0.0292053166776895,-0.000122070305224,802,-491.3648986816406,-287.7500915527344,0.013626136817038,22.10578214658284,7.066582202911377,0.0005185591289773,0.1898655891418457,0.0305614490061998,0.0005322866491042,803,-501.4049072265625,-287.75018310546875,0.01196632348001,22.052722751418944,10.76205348968506,-0.0632688924670219,0.183329090476036,0.0255380887538194,2.1150806787773035e-05,804,-531.3596801757812,-287.7501220703125,0.0116223907098174,22.05872580685959,10.905341148376465,-0.0081749046221375,0.1833154410123825,0.0287834033370018,0.0002195547858718,796,-418.9044799804688,-287.7501220703125,-0.0037371825892478,0.0013977699465595,-2.1715673881317346e-07,6.681441391265253e-07,0.0,0.0133428452536463,2.9758641062471725e-07,0,RF,2696.0,1029.0,0.0,0.0,0,5324.0,0.0,0,0.0,529.0,643.0,0.0,0.0,0,904.0,0.0,0,0.0,3019.531302934075,490.58096349904656
1721721816.702,0.00274658203125,1.52587890625e-05,1.52587890625e-05,1,1,0,805,-494.4595947265625,-291.244873046875,0.0035163497086614,49.85185416372322,-0.1622849106788635,0.1743394136428833,0.0020490565802901,0.1346891820430755,0.0085005480796098,797,-481.35162353515625,-294.75,0.0034498977474868,49.43822593802894,0.0,7.194106274255319e-06,-0.0019534339662641,0.0003032395616173,-3.05175763060106e-05,798,-491.3662109375,-294.75,0.0034498977474868,49.43821907164008,0.0,7.156423635024112e-06,-0.0019534339662641,0.0003340504772495,0.0,799,-521.4476318359375,-294.75,0.0034498977474868,49.438219071666246,0.0,6.207635124155786e-06,-0.0019534339662641,0.0003794231161009,6.470072833053564e-08,800,-452.3587646484375,-291.2499084472656,0.0040797614492475,0.0283189918601481,-0.0186984576284885,7.689000631216913e-05,-0.0091866040602326,-0.0008544921292923,0.0,801,-526.1713256835938,-291.25018310546875,0.0119986338540911,21.95545366302671,-1.83791184425354,-0.1759734600782394,0.1800232827663421,-0.003906249301508,-0.0005187987699173,802,-491.1982421875,-287.74981689453125,0.0137489503249526,21.952176443285182,-1.5785382986068726,-0.0038608212489634,0.1840735822916031,0.0031196628697216,0.000555211387109,803,-501.23828125,-287.7499389648437,0.012111778371036,21.94829934584745,-1.0730913877487185,0.0582263842225074,0.1791148781776428,-0.002532958984375,-4.071129555433678e-13,804,-531.1937866210938,-287.74981689453125,0.0117766754701733,21.848870445353587,-2.1565017700195312,0.088162638247013,0.1790397316217422,0.0023186635226011,0.0004407845262903,796,-418.9044799804688,-287.7501220703125,-0.003742141649127,0.0006853065511818,2.503867051473208e-07,-7.291185966096236e-07,0.0,0.0133428452536463,2.9758641062471725e-07,0,RF,2696.0,1029.0,0.0,0.0,0,5503.0,0.0,0,0.0,529.0,643.0,0.0,0.0,0,937.0,0.0,0,0.0,3017.3521744479026,516.7455684485782
